temperature(C),wind speed(m/s),wind direction,humidity(%),vapor pressure(hPa),dew point(C),atmospheric pressure(hPa),Sea level pressure(hPa),insolation time(hr),insolation(MJ/m2),cloud,weather label
-1.3,3.5,230,53,3,-9.6,1015.7,1019.2,,,0,0
-4.6,3.5,230,26,1.1,-21.2,1023.1,1026.6,,,0,0
22,0.6,70,100,26.3,21.9,996.1,1011.5,,,6,3
12.1,0.4,0,85,11.9,9.6,1013.4,1016.9,0,0.43,8,3
12.1,2.4,290,23,3.2,-8.4,1013.2,1021.6,1,2.34,0,0
10.1,1.4,200,97,11.9,9.6,1024.4,1029.4,,,8,3
1.8,2.2,340,72,5,-2.7,1018.4,1025,0.3,0.82,7,4
0.3,1.6,320,83,5.2,-2.2,1006.3,1018.4,,,10,4
19.1,2,290,94,20.8,18.1,999.9,1007.9,,,10,1
24.5,1,270,60,18.4,16.2,993.2,1010.5,,,1,0
3.4,1,70,80,6.2,0.2,1005.5,1024.2,,,6,3
16.4,7.3,140,60,11.2,8.6,1002.3,1007.6,0,0.84,10,1
-1.3,3.6,320,22,1.2,-20.3,1020.1,1025.2,,,6,3
4.5,1.9,160,97,8.1,4,1010.5,1019.8,,,0,2
22.2,0.8,90,91,24.3,20.6,1008.4,1011.6,,,9,2
4.3,9.1,340,48,4,-5.7,1017.5,1020.1,,,8,4
11,2.7,320,53,6.9,1.7,1011.6,1018.9,1,0.77,0,2
22.6,1,140,92,25.2,21.2,999.9,1003.1,,,8,2
-0.2,1.5,320,59,3.6,-7.2,1016.8,1027.6,,,0,0
28.1,1,160,84,31.9,25.1,1007,1013.2,1,1.48,2,0
5.4,0.7,340,73,6.5,0.9,1000.6,1016.5,0,0,6,3
21.7,0.9,290,72,18.6,16.4,1011.4,1014.6,0.2,0.81,10,3
15.4,0.5,290,92,16.1,14.1,1008.7,1013.4,,,0,2
0.6,0.1,0,92,5.9,-0.5,1009.9,1026.3,,,0,0
-3.4,0.9,250,92,4.4,-4.5,992.8,1023.4,,,0,0
3.3,0,0,98,7.6,3,986.3,1026.4,,,0,0
8.4,0.9,110,47,5.2,-2.2,1015.6,1026.6,1,0.98,0,0
3.7,5.3,320,53,4.2,-5,1021.1,1026.2,,,7,3
9.6,1.9,290,61,7.3,2.4,1019.4,1026.6,,,2,0
-1.9,1.2,320,46,2.4,-12,1012.5,1022.9,,,10,3
24.2,1.3,90,91,27.4,22.6,1000.9,1016.2,,,5,0
25.2,1.3,250,72,22.9,19.7,1001.9,1002.3,,,0,0
18.3,3,250,35,7.3,2.5,1011.7,1014.1,1,,0,0
16.1,0.1,0,95,17.3,15.2,1003.4,1014.8,,,0,0
24.4,1.3,110,58,17.6,15.5,1011.2,1016.9,0.6,1.53,6,3
3.3,0.7,20,35,2.7,-10.7,1011.3,1018.1,,,0,0
12,3.7,270,85,11.9,9.5,1002.5,1012.8,,,6,2
24.1,3.1,340,41,12.3,10,988.2,1016.3,1,,0,0
29,2.8,110,61,24.4,20.7,993.3,1001.7,0,0.32,10,1
32.2,1.8,200,59,28.3,23.1,1000.1,1008.5,0.2,0.31,5,0
18.5,1,70,87,18.4,16.2,1005.8,1016.2,,,10,3
15.2,2,200,95,16.3,14.3,1001,1005.3,,,5,2
13.6,1.9,140,77,11.9,9.6,1005.5,1009.7,,,10,1
15.1,1.4,50,90,15.4,13.4,1024.3,1025.1,,,3,0
12.2,1.1,270,50,7.1,2,1019.6,1020.8,0.4,0.77,8,3
10,0.3,0,81,9.9,6.8,1018.2,1025.6,0.7,0.57,7,2
3.5,4,320,71,5.6,-1.2,1009.8,1014.8,0.3,1.57,8,4
4.7,6.1,50,88,7.5,2.8,1011.8,1022.5,0,0.26,10,1
7.5,5.9,110,76,7.8,3.5,1011.6,1018.3,0,0.22,10,1
4.3,1.3,320,86,7.1,2.1,988.5,1014.4,0.1,,9,3
15.4,3.3,290,72,12.5,10.3,1013.9,1017.2,0,0.59,10,1
16.5,1.3,140,82,15.4,13.4,1014.5,1014.9,0.2,1.09,6,3
6,0.8,70,73,6.8,1.5,1017.1,1027.8,,,2,0
1.3,1.7,160,50,3.3,-8,1006.5,1022.8,,,9,3
13.6,2.3,320,70,10.9,8.2,1011.5,1015.8,1,1.28,0,2
21.6,8.1,160,91,23.4,20,991.3,999.9,0,1.56,10,2
20.1,2.5,180,79,18.5,16.3,1006.6,1011.9,0,,9,3
10.3,0,0,56,7,1.8,1012,1020.5,,,9,2
22.4,1.6,230,53,14.3,12.3,1002.2,1006.1,0.9,2.94,7,3
0.3,1.2,50,75,4.7,-3.6,1024.5,1024.9,,,0,0
1,3.5,20,96,6.3,0.4,927.3,1012.8,0,0.38,10,3
28.3,0.7,320,67,25.6,21.5,1004.1,1015,,,0,0
25.2,0.8,270,96,30.7,24.5,1001.5,1012.4,,,10,2
15.8,0.2,0,98,17.5,15.4,1003.6,1015,,,3,2
-0.7,1.1,320,91,5.3,-1.9,1007.6,1025.5,,,9,2
25.3,0.2,0,86,27.6,22.7,988.6,1004.5,0,0.51,10,1
28.5,1.3,250,60,23.2,19.9,982.6,999.2,0.8,3.08,6,3
1,2.7,290,33,2.2,-13.5,992.9,1023,0,0,0,0
3.9,0,0,92,7.4,2.7,1022.8,1026.3,0,0,0,2
17.6,1.5,340,84,16.8,14.8,1019.1,1023.3,,,10,3
24.4,0.7,160,75,22.8,19.6,979.2,1014.4,0.2,,8,3
10.6,2.2,320,38,4.9,-3.1,1020.7,1026.7,0.7,2.15,4,0
18.9,0.7,50,51,11.1,8.5,1001.8,1009.8,,,7,3
18.8,0.2,0,97,21,18.3,1006.1,1015.5,,,10,3
7.7,3.4,270,57,6,-0.2,1018.2,1022.3,0.9,0.77,0,0
14.4,1.2,270,78,12.8,10.6,1020,1026.2,0,0.77,8,3
13.2,0.7,270,80,12.1,9.8,1006.8,1027.6,0,,9,3
26.5,2,230,87,30,24.1,1001.8,1011.5,0,0.02,10,1
15.6,2,230,72,12.7,10.5,1006,1006.7,,,10,3
8.7,9.1,50,83,9.3,5.9,1014.7,1015.1,0,0.19,10,1
31.6,3.2,230,73,33.8,26.1,1000.1,1005.9,1,2.77,4,0
28.3,1.1,110,69,26.4,22,927.7,1011,1,0.98,4,0
10.3,3.9,250,63,7.8,3.5,1014.5,1017.9,1,1.77,2,2
20.1,1,270,86,20.1,17.6,997.2,1008.3,,,10,1
27.1,1.3,50,88,31.5,24.9,1006.4,1012.3,0,0,10,1
25.4,3.4,90,78,25.2,21.2,1015.5,1017.9,0.4,1.18,9,1
6.9,7,20,64,6.3,0.5,1011.2,1016.2,0.3,,6,3
9,1.2,230,80,9.2,5.7,1015.8,1018.3,0,,10,3
29.5,1.5,180,54,22.2,19.2,1004.1,1005,0,0.59,3,0
10.7,0.5,90,54,6.9,1.7,1004.5,1014.3,1,,3,0
9.3,1.9,20,55,6.4,0.7,1019.4,1023.7,,,0,0
20.5,7.9,320,35,8.4,4.4,985.7,1010,1,,0,0
21.2,1.3,50,92,23.1,19.8,998.1,1011.4,,,0,0
21.4,0.3,0,92,23.4,20,1001.2,1010.6,0,0.25,10,1
2.6,2.6,290,79,5.8,-0.6,1010,1019.4,,,10,1
6.7,1.7,290,38,3.7,-6.6,1015.2,1023.8,0,0.01,0,0
8.1,4.2,230,68,7.3,2.5,1013.2,1017.6,,,10,1
1.6,14.6,340,64,4.4,-4.4,1012.4,1021.9,,,9,4
15.3,5.6,230,67,11.6,9.1,1000.5,1004.2,0.5,0.49,0,0
8.7,5.5,50,58,6.5,0.8,1019.6,1023.9,,,10,3
22.1,2.1,290,98,26,21.7,1003.6,1012.3,0,0.33,10,1
-1.4,2.6,290,28,1.5,-17.6,1020.8,1026.9,1,,0,0
22.1,0.6,320,85,22.5,19.4,1003.9,1010.2,0,0.06,3,2
9.4,1.7,320,90,10.6,7.8,1018.4,1023.3,,,6,2
-0.5,5.5,230,60,3.5,-7.3,998.1,1010.1,0.2,0.26,7,4
9.7,1.5,340,50,6,-0.2,1012.2,1022.6,0.8,,0,0
-4.9,0.7,70,93,4,-5.8,1013.1,1025.5,0.6,0.4,0,2
-5.9,1.2,290,59,2.3,-12.6,1016.8,1027.2,,,3,0
11.9,1,290,93,12.9,10.7,1008.5,1016.7,0,0.17,10,2
7.2,1.3,230,83,8.4,4.4,1013.4,1020.1,0,0.37,9,3
28.4,0.7,180,83,32.1,25.2,1014,1014.3,1,0.73,3,2
-0.1,3.4,290,46,2.8,-10.3,1017.3,1020.8,0.7,0.95,7,4
10.9,1.6,270,68,8.8,5.2,996.7,1007,,,10,1
23.2,0.6,290,87,24.7,20.9,997.5,1004.2,0,0.23,10,1
0.1,2,320,44,2.7,-10.7,1022.4,1025.8,,,0,0
8.6,2.9,270,32,3.6,-7.2,1019.5,1026.7,1,1.6,4,4
27.7,1.4,160,81,30,24.1,1004.4,1012.4,,,0,0
8,5.6,340,59,6.3,0.4,1018.2,1026.4,,,0,0
26.7,0.5,230,90,31.5,24.9,1008.1,1012.1,,,0,0
1.9,1.1,250,62,4.3,-4.6,1012,1022.8,1,1.74,0,2
24.8,4.2,230,90,28.1,23,998,1005.5,0,0.37,10,1
2.4,0.4,0,90,6.5,0.9,1012.8,1014.8,,,0,0
4.1,0.3,0,81,6.6,1.1,1013,1027.5,0.4,0.36,0,0
2.6,1,140,87,6.4,0.6,1019.6,1028.3,,,0,2
11.5,1.6,110,94,12.7,10.5,1002.1,1008.6,0,0.01,0,2
25.9,0,0,90,30,24.1,1011.9,1013.4,,,0,0
26.8,4.8,230,77,27.1,22.4,1001.1,1003.4,0,0.05,10,1
3.1,1.7,140,78,6,-0.3,1010.6,1019.2,,,9,2
3.6,1.9,140,88,6.9,1.7,972,1009.9,0,,0,0
8.2,1.2,290,85,9.2,5.8,999.7,1016.5,0,,10,3
-9.4,0.2,0,89,2.7,-10.8,1015.9,1025.9,0.4,0.31,0,0
17.4,1.6,200,54,10.6,7.9,1007.7,1012.4,1,2.22,7,3
27.2,0,0,83,29.8,24,978.3,1002.9,0.1,0.18,0,0
20.8,1.6,290,68,16.6,14.6,1006.4,1011.6,1,2.43,0,2
8.6,0,0,60,6.7,1.2,971.7,1000.3,,,6,3
11.9,3.1,290,40,5.6,-1.2,1011.3,1016.2,1,1.24,2,0
23.6,0.6,160,92,26.8,22.2,1012.2,1014.5,,,5,0
4.3,0.1,0,46,3.8,-6.3,1018.8,1025.6,,,0,0
18,1.3,360,98,20.1,17.6,1007.8,1015.8,0,0.01,10,1
6,0.8,50,87,8.1,3.9,1018.6,1024.6,,,0,0
29.8,2.2,200,59,24.7,20.9,1005,1008,,,3,0
29.1,2.8,230,78,31.3,24.8,1002.3,1011.9,0.2,1.65,8,1
5.4,1.2,70,77,6.9,1.6,1027.3,1028.5,,,0,0
27.7,0.4,0,88,32.6,25.5,1011.8,1012.9,0,0,3,0
10,1.3,270,83,10.2,7.2,1019,1021.5,,,5,0
0.8,0,0,95,6.1,0,929.3,1022.3,,,7,3
1.6,0.6,50,93,6.3,0.5,1011.4,1019.9,,,0,2
12.6,2.7,20,87,12.6,10.4,1014.6,1023.7,,,5,0
22.3,2.7,230,84,22.5,19.4,999.6,1004.2,0,0.58,8,2
15.3,2.6,320,25,4.3,-4.6,1024.8,1025.2,1,2.59,0,0
-9.4,2.2,290,52,1.6,-17.4,997,1026.8,,,0,0
-3.4,0.2,0,62,3,-9.6,1015.3,1025.8,,,8,3
16,0,0,79,14.3,12.3,1011.9,1014.3,0.2,,5,0
15.7,0,0,96,17,15,1006.6,1011.9,,,0,0
17.6,2.4,50,83,16.6,14.6,1000.8,1001.2,,,10,1
2.3,4,250,41,3,-9.6,1022.7,1023.2,,,0,0
5,0.5,200,89,7.7,3.3,1009.5,1020.1,,,8,2
31,4,160,80,35.9,27.1,1013.2,1015.5,1,,4,0
5.5,3.4,290,27,2.4,-12,1010.6,1016.9,0,0.03,0,0
14.1,2.7,110,94,15.1,13.1,1011,1017.5,,,7,2
5.8,0.7,270,82,7.5,2.9,1014.5,1021.8,,,10,2
12.5,0.5,340,82,11.9,9.5,1001.3,1011,0,0,10,2
18.3,7,230,82,17.2,15.1,1000.9,1009,0,0.84,10,1
14.7,5.8,360,97,16.2,14.2,1005.8,1011.1,,,10,2
11.5,5.5,320,61,8.2,4.2,1020.2,1024.6,,,2,2
20.3,0.4,0,94,22.2,19.2,1007.7,1009.1,,,0,0
-8.5,5.7,270,40,1.3,-19.7,997.6,1024.7,1,1.17,0,0
29.9,2.6,230,77,32.4,25.4,1009.7,1014.2,0.4,2.06,8,1
20.9,0.7,110,97,23.8,20.3,995.8,1015.8,0,,9,3
-7.1,0.1,0,66,2.4,-12.3,1007.8,1029.3,,,0,0
13.4,1,90,90,13.7,11.7,1003.4,1007.6,0.1,0.51,0,0
26.1,1.2,250,84,28.3,23.1,1001,1011.9,0,,1,0
26.6,2,140,88,30.6,24.4,997.8,1013.8,0,0.41,10,1
0.1,1.4,50,100,6.1,0,1015.5,1021.2,,,10,2
7.6,0.5,180,92,9.5,6.3,1003.2,1014.9,0.5,0.58,0,2
5.9,1.9,20,95,8.8,5.1,1016.7,1017.9,,,10,3
27.7,5.5,180,90,33.4,25.9,1005.9,1006.2,0.2,1.7,10,1
21,2.5,290,50,12.4,10.1,1009.8,1012.7,1,3.06,0,0
6,3.8,140,88,8.2,4.1,1004.3,1008.7,,,0,2
25.1,1,110,93,29.5,23.8,1001.9,1008.8,0,0.3,10,1
24.3,0.9,230,82,24.9,21,998.4,1008.1,,,2,1
4.1,4.3,270,56,4.6,-3.9,1005.2,1022.4,0,,0,0
-10.2,0.5,90,53,1.5,-17.9,1023.2,1029.6,1,,0,0
14.1,4,50,97,15.6,13.6,1004.5,1014.7,,,10,1
21.6,0.7,50,98,25.2,21.2,1007.5,1010.4,,,8,3
3.2,0.9,110,62,4.8,-3.3,1021.6,1028,,,6,3
23,0,0,94,26.3,21.9,994.7,1010.7,,,0,0
1.9,1.7,290,29,2,-14.3,985.8,1026.1,1,,0,0
17.6,2.1,70,82,16.4,14.4,994.5,1023.3,,,10,3
13.5,1.5,270,74,11.4,8.9,1016.3,1016.8,,,7,3
22.7,0.3,0,86,23.7,20.2,994.6,1007.7,0,0.35,8,3
-6.5,0,0,88,3.3,-8.1,1008,1026.3,,,2,2
17,2.1,270,46,8.8,5.2,997.7,1002.5,,,0,0
3.9,2.4,320,74,6,-0.3,979.7,1006.6,,,8,1
0.5,0.1,0,92,5.8,-0.6,1001.2,1018.8,,,10,3
16.2,0.5,160,94,17.3,15.2,1005.2,1016.6,,,9,2
18,10.8,140,99,20.4,17.8,997.8,1006.6,0,0.32,10,2
27.4,1.6,270,75,27.2,22.5,971.6,1007.6,0.2,,7,3
-8.3,3.1,320,73,2.4,-12.2,1023.1,1026.8,,,8,4
13.1,4.4,50,35,5.3,-2,1007.3,1021.1,1,2.57,4,0
19,6.5,70,67,14.7,12.7,1007.9,1009.8,0,,10,3
-1.2,0.3,0,81,4.5,-4,1006.5,1028.3,,,0,0
7.4,0,0,93,9.5,6.3,1008.9,1026.3,,,2,2
-2.3,0.2,0,79,4.1,-5.4,994,1011.8,,,10,4
10.7,4.6,250,80,10.2,7.3,1010.2,1013.6,,,4,2
17.2,2.5,110,90,17.6,15.5,1006.5,1010.6,,,10,1
11.7,0.9,110,67,9.2,5.7,1009.2,1011.3,0,0,9,3
5,1,50,60,5.2,-2.1,1008.8,1025.4,,,10,3
18.9,1.6,270,80,17.4,15.3,995.6,1004.3,,,8,1
1.3,0.3,0,90,6.1,-0.1,1018.2,1018.6,,,0,2
17.8,1.9,70,93,18.9,16.6,1011.4,1014.7,,,10,1
10.3,4.6,110,63,7.8,3.5,1021.9,1022.1,,,10,3
-9.5,1.9,360,,,,1022.6,1024.5,,,0,0
13.8,1.9,200,72,11.3,8.8,1008.1,1016.4,,,0,0
-6.8,1.2,20,64,2.4,-12.4,1028.5,1029.8,,,0,0
2.1,1.2,20,88,6.2,0.3,1018.1,1028.9,,,0,2
-4.8,2.1,110,20,0.9,-24.3,932,1019.9,1,1.82,2,0
23.6,0.1,0,92,26.8,22.2,1003.7,1012.4,0,0.02,9,3
0.9,2.5,320,91,5.9,-0.4,1015.6,1024.2,,,3,4
1.2,0.6,320,35,2.3,-12.6,1017.6,1024.5,,,9,3
1.9,8.9,20,79,5.6,-1.3,1017.9,1023.5,,,4,0
12.8,2.6,160,48,7.1,2,1004.9,1013.2,0,0.96,9,3
-1.8,0.1,0,66,3.5,-7.3,1010.7,1023,1,0.82,0,0
-2.3,3.8,70,82,4.2,-4.9,994.4,1022.4,,,9,4
6.7,1.4,250,84,8.2,4.1,992.8,1013.7,,,9,3
20.8,1.3,270,86,21,18.3,1007.1,1016.6,,,9,1
20.5,0.8,230,94,22.5,19.4,1001.6,1008.6,0,0.08,10,1
-13,0.5,140,63,1.4,-18.5,986.4,1027.5,,,10,3
2.8,1.9,50,94,7,1.9,1009.4,1018.2,,,10,1
19.8,0.8,250,84,19.4,17,1009.6,1015.6,,,9,3
11,0.2,0,63,8.2,4.2,1014.4,1017.8,,,6,3
32,4.3,70,65,30.7,24.5,1007.5,1009.8,0.7,1.31,4,0
8.9,0.8,110,86,9.7,6.6,1018.3,1025.7,0,0.14,7,2
-0.5,1.9,70,87,5.1,-2.4,1016.6,1020.1,,,7,2
9,0.1,0,93,10.6,7.9,1021.8,1022.2,,,0,2
16.2,4.3,110,88,16.2,14.2,1009,1013.2,0,0.29,9,3
10.8,2,180,74,9.5,6.3,1011.7,1016.1,0.5,0.22,0,0
19.2,0.5,290,100,22.1,19.1,997.1,1006.6,0,,9,3
12.3,2.6,50,51,7.3,2.4,1012.7,1021.1,0.8,1.95,3,0
2.2,0.1,0,71,5.1,-2.5,1008.2,1018.4,,,0,0
31.8,2.3,360,63,29.5,23.8,1008,1011.8,0.9,1.87,8,3
5.3,3.3,250,65,5.8,-0.7,1017.2,1027.9,0.4,1.81,9,4
14.9,1,250,67,11.3,8.8,1010,1028,0.1,1.41,9,3
28.8,0.7,200,78,30.7,24.5,1007.5,1009,0.7,,1,0
4,2,20,58,4.7,-3.5,1016.1,1020,,,8,3
8.9,1.3,20,76,8.6,4.8,1027.3,1028.5,,,0,0
-4,6.6,270,32,1.5,-18.3,992.4,1023.6,,,9,3
-7.3,0.4,0,55,1.9,-14.8,995.1,1022,,,4,0
21.1,2.5,50,74,18.4,16.2,1010.5,1018.6,,,9,3
6.5,1,270,79,7.6,3.1,1013.5,1020.8,0,0.18,9,2
14.2,1,320,34,5.5,-1.4,1016.9,1020.4,1,2.42,0,0
0.8,4.2,270,17,1.1,-21.5,998.9,1025.1,1,2.25,0,0
19.9,1.4,50,92,21.3,18.5,1013.7,1017,0,0.33,10,2
6.2,0.8,90,76,7.2,2.2,992,1000.5,,,10,1
9.2,3.6,200,70,8.1,4,1004,1014.4,,,0,2
11.3,2.1,160,85,11.3,8.8,997.3,1005.7,,,0,2
13,0.7,90,73,10.9,8.2,996,1004.3,,,0,2
-0.2,0.3,0,96,5.8,-0.7,1025.1,1028.5,,,0,0
14,0.6,20,92,14.7,12.7,1006.9,1018.4,0,0.04,9,2
-4.5,0.4,0,95,4.2,-5.1,1007.9,1020.2,,,0,2
5,0.7,140,82,7.1,2.1,1015.1,1018.6,,,0,2
3.9,3.9,70,85,6.9,1.6,1015.2,1020.2,,,10,1
19.2,1.5,200,92,20.4,17.8,997.7,999.3,0,0.02,8,3
13.8,0.3,0,34,5.4,-1.8,1008.5,1012,,,0,0
-1.4,2.8,290,56,3.1,-9,1015.8,1021.6,,,2,0
2.9,0.6,50,91,6.8,1.5,1009.6,1018.4,0,0.35,10,1
28.8,1.6,160,75,29.7,23.9,998.8,999.7,0.1,1.53,9,3
-1.3,0.2,0,97,5.4,-1.7,1010.6,1022.8,,,10,4
-3,16.3,340,92,4.5,-4.1,1020.1,1029.8,0.1,0.2,7,4
5.9,9.9,270,65,6.1,-0.1,1010.8,1016.3,0,1.35,10,1
17.6,2.2,70,97,19.5,17.1,1007.9,1015.9,,,10,1
25.4,1.5,110,80,25.8,21.6,991.5,1006.1,0.7,2.07,7,3
33.2,4.3,200,50,25.3,21.3,1004.7,1009.2,0.9,2.96,4,0
24.7,3,200,89,27.6,22.7,1000,1004.1,0,1.15,9,2
4.9,1.1,50,79,6.8,1.5,991.1,1017,,,10,3
25,0,0,99,31.3,24.8,1001.5,1010.8,,,0,0
-3,0,0,92,4.5,-4.1,1023.6,1024.9,,,0,0
5.8,3.5,110,55,5.1,-2.5,1014.1,1031.7,0,0.13,9,3
12.1,3.4,320,31,4.4,-4.5,1011.9,1018.1,,,9,3
15,3,320,65,11,8.4,1007.5,1017.7,1,1.73,2,2
19.4,1.9,250,97,21.8,18.9,1005,1009.6,0,0.26,10,2
13.2,5,70,74,11.2,8.6,1002.7,1029.3,,,7,3
2.4,2.9,50,90,6.5,0.9,1017.2,1021.7,,,10,1
20.7,1.2,320,84,20.4,17.8,1003.6,1007.7,0.9,2.02,8,3
5.4,1.4,140,95,8.5,4.6,1016.9,1021.9,,,0,2
-1.6,1.1,50,91,5,-2.8,1007.5,1017.1,,,0,0
24.3,1.5,160,93,28.1,23,1004.4,1008.5,0,0.18,10,1
0.7,1.6,290,76,4.9,-3,1024.6,1025.9,,,9,3
12.6,2.4,270,23,3.3,-8,1012.6,1022.4,1,,0,0
18.5,1.7,160,86,18.3,16.1,1003.2,1007.9,,,9,1
11.8,0.5,110,86,11.9,9.5,1001.5,1018.5,,,6,3
20.4,3.5,70,99,23.7,20.2,995.6,1003.6,,,10,1
5.7,1.4,140,82,7.5,2.8,1010.5,1018,,,8,2
9.4,1,340,75,8.8,5.1,1018,1019.5,,,0,0
23.6,1.4,290,93,26.9,22.3,996.6,1000.7,,,0,2
22.5,3,180,46,12.4,10.2,1010.5,1017.3,1,2.62,1,0
2,0.4,0,98,6.9,1.7,1006,1018,0,0.05,7,2
-1.8,5.6,290,49,2.6,-11.1,1010.2,1022.5,,,0,0
16.6,0,0,96,18.1,15.9,1001.6,1018.3,0,0.4,10,1
31.7,2.4,90,68,31.7,25,1004,1007.9,1,1.8,2,0
24.6,2.9,290,49,15.1,13.1,1012.6,1014.4,1,2.61,0,0
18,2.1,140,70,14.4,12.4,1013.4,1017.7,0.8,1.54,0,2
16.4,1.5,140,75,13.9,11.9,1011.7,1016.1,,,6,3
-0.3,0.4,0,86,5.2,-2.3,971.9,1022.3,,,3,0
12.9,0.5,50,87,12.9,10.7,999.9,1009.6,,,10,1
14.9,2.1,160,81,13.7,11.6,1000.7,1009,0,0.91,9,2
9.9,5.3,290,58,7.1,2,979.3,1005.6,,,0,0
3.8,1.1,20,69,5.6,-1.3,1016.4,1020.3,,,0,0
5.7,3.8,340,77,7,1.9,1000.7,1005.1,,,4,2
12,4,250,81,11.3,8.8,1015.3,1018.7,,,8,2
6.8,0.5,140,82,8.1,3.9,1007.7,1012.6,0.9,0.4,0,2
24.8,1.1,180,84,26.3,21.9,1000.7,1009.3,,,1,0
17.1,1.1,70,81,15.8,13.8,1011.1,1011.3,1,1.1,0,0
21.9,2.7,230,86,22.5,19.4,1006.1,1010,0,1.27,9,3
1.7,0.7,290,29,2,-14.4,1019.3,1026.7,,,9,3
20.2,1.2,180,93,22,19,1005.7,1008.9,,,9,2
15.2,5.2,90,89,15.3,13.3,994.9,999.6,0,0.24,10,1
9.7,5.9,70,82,9.8,6.7,1011.5,1017.8,0,0.74,10,1
9.7,0.8,230,69,8.2,4.2,1019.6,1022.9,,,6,3
34,1.1,160,36,19.1,16.8,1003.4,1009.4,0.8,1.41,7,3
19.6,1.6,250,36,8.2,4.1,1017,1017.4,1,1.52,0,0
25.1,2.2,50,90,28.6,23.3,986.1,1011.1,0.1,0.72,7,1
16.1,0.2,0,91,16.6,14.6,999.9,1016.5,,,6,3
21.8,1.3,180,62,16.1,14.1,1010.9,1015.5,1,2.64,3,0
24.8,0.8,110,78,24.3,20.6,1005.7,1011.7,,,1,0
-5.7,0.8,200,49,2,-14.7,1012.1,1021.8,,,0,0
14.7,0.9,230,93,15.5,13.5,1014.7,1018.9,,,0,2
29.7,1.1,140,67,27.9,22.9,977.4,996.4,0.1,,8,3
4,0.8,290,81,6.6,1,1010.4,1013.8,0.1,0.13,5,2
6.9,1.7,250,66,6.5,0.9,1008.6,1016.7,,,4,0
15.6,4.9,320,56,9.9,6.8,995.2,1003.2,0,0.21,10,1
22,0.7,110,76,20,17.5,1016.3,1020.5,1,1.17,0,2
3,1.2,50,56,4.2,-4.9,1024.9,1025.7,,,2,0
16.8,4.4,230,87,16.6,14.6,992.4,1000.1,0,0.98,10,2
-1.8,2.4,200,26,1.4,-18.8,995.3,1025.8,1,1.58,0,0
-2.8,0,0,73,3.6,-6.9,1025.5,1029.3,,,2,0
22.8,0.4,0,86,23.8,20.3,982,1009.8,,,1,0
24.2,0,0,95,28.6,23.3,1004.8,1006.6,,,6,3
23.2,4.5,200,97,27.4,22.6,1004.4,1008.5,,,10,2
18.6,2.6,50,92,19.6,17.2,1007.8,1014.7,0,0,10,1
5.1,2.7,340,75,6.6,1,1013.7,1022.3,,,9,2
18.8,1.7,70,89,19.2,16.9,1009.4,1010.8,,,5,0
4.4,2.4,270,57,4.8,-3.3,1011.1,1021.8,,,0,0
25,1,340,96,30.4,24.3,1001.7,1012.6,0,0,10,1
25.7,3.4,50,52,17,15,1012.3,1016.1,1,2.64,5,0
16.9,2.7,340,79,15.2,13.2,1006.4,1011.7,0.7,,6,3
19,3.9,230,60,13.1,11,988.8,998.1,1,2.31,1,0
3.6,3.3,250,51,4,-5.6,1006.2,1012.9,0.4,1.11,8,4
24.9,0.6,360,91,28.6,23.3,1008.4,1014.3,,,6,3
24,1.5,140,97,28.8,23.4,1009.5,1013.6,,,8,3
27.6,1.8,320,85,31.3,24.8,1007.4,1007.7,0,0.09,10,1
14.4,1.2,250,95,15.6,13.6,1008.2,1017.2,,,2,2
13.6,0.2,0,55,8.5,4.7,1010.7,1011.7,1,,7,3
11.7,1.9,160,87,11.9,9.6,998.1,1004.6,,,10,1
3.5,3.5,320,64,5,-2.6,1007.4,1018.1,0.2,0.07,7,4
4.2,1.9,270,81,6.7,1.2,1016.9,1021.9,0.1,1.01,7,2
-4.5,0.3,0,85,3.7,-6.6,1023.1,1028.9,,,3,4
9.8,1.7,340,55,6.6,1.1,1008.7,1013.2,,,0,0
23.2,2.8,180,88,24.9,21,1000.8,1005.4,,,4,0
24.6,3.1,320,73,22.5,19.4,984.1,1007.7,0,0.3,10,3
20.6,0,0,95,22.9,19.7,988.9,1005.1,,,7,3
-1.1,0.5,230,59,3.3,-8.1,1018.6,1022,,,7,3
20.1,3,230,22,5.2,-2.3,999.6,1010,0.7,2.46,8,3
7.4,0.6,90,89,9.1,5.6,1013.2,1020.5,,,4,0
19.2,2.2,320,94,20.9,18.2,1013.8,1018,,,5,2
22.3,0.6,200,76,20.4,17.8,1001.9,1009.7,0,0.32,9,3
19.7,1.1,270,41,9.3,6,1006,1014.2,1,1.23,0,0
24.7,0.7,50,93,28.8,23.4,1000.8,1008.8,,,10,1
1,0.8,270,87,5.7,-0.9,1017.8,1022.8,,,10,4
8.9,2.2,290,73,8.3,4.3,1005.1,1010.9,,,0,0
13.9,1.7,250,84,13.3,11.2,1006.7,1009.2,,,9,2
26.9,0.7,90,89,31.5,24.9,1005.7,1007.7,0.1,0.04,0,0
24.4,0.6,140,88,26.8,22.2,998.6,1001.8,,,3,2
33.5,2.2,110,53,27.4,22.6,1002.6,1007.6,1,,2,0
30.6,2.2,20,69,30.2,24.2,1001.2,1003.5,0.8,1.48,1,0
25.8,4,360,45,14.9,12.9,1005.3,1013.1,1,2.99,0,0
32.9,1.3,200,60,29.8,24,1005.7,1009,1,2.62,3,0
